_   Starting Quests
$   Cure Vamp/Lycan
S   Main Quest
0   School of Julianos
1   Meridia
2   Molag Bal
3   Namira
4   Nocturnal
5   Peryite
6   Sheogorath
7   Sanguine
8   Malacath
A   Merchants?
B   Any Knightly Order
C   Any Temple
D   Akatosh Chantry?
E   Temple of Arkay
F   House of Dibella
G   Temple of Kynareth
H   Benevolence of Mara
I   Temple of Stendarr
J   Resolution of Zenithar
K   Random People?
L   Dark Brotherhood
M   Fighters Guild
N   Mages Guild
O   Thieves Guild    
P   Any Vampire Clan
Q   Witches Coven
R   Nobility
T   Azura
U   Boethiah
V   Clavicus Vile
W   Hermaeus Mora
X   Hircine
Y   Mehrunes Dagon
Z   Mephala
